UserId,HackathonExperience,CodingExperience,CommunicationExperience,OrganizationExperience,DocumentationExperience,BusinessExperience,CreativityExperience,Major,SchoolYear
542fd4b3-69b2-41c3-8634-554c3e095128,1,2,4,1,2,1,2,architecure,second_year
5044fb4d-9e98-4c70-9f39-97c4b7b0c5f3,1,3,5,3,2,2,0,architecure,fourth_year
18f2197b-2ee0-4df7-9e23-2babada40e78,0,2,4,2,0,1,0,computer_science,first_year
6d1d69dd-d5aa-47a7-a478-e998410c00b5,1,4,4,3,1,0,0,electrical_engineering,six_plus_years
bf8e821e-ebb1-41d2-8899-87044bdaf2c3,0,2,5,1,1,1,0,electrical_engineering,second_year
a6e4c61e-1939-41e3-8107-052bb0c59f58,2,3,3,2,1,1,1,computer_science,third_year
835f5e51-38ce-463f-8ca2-97c2057f3016,3,2,3,1,1,2,0,electrical_engineering,first_year
660c178d-6c2d-4929-9e67-a029fb926f9c,0,3,4,4,1,1,0,aerospace_engineering,third_year
6d9a3033-af3e-4143-9a0a-286e7d378b41,2,3,1,2,1,2,0,computer_science,fourth_year
b83ce81d-2db3-4143-a5f5-f18ab6679ddb,0,3,2,2,2,0,1,electrical_engineering,third_year
2fc15060-fc3c-4975-8a54-7c96089f6571,3,5,1,5,1,1,0,mechanical_engineering,second_year
39f22134-b2a3-4dbc-88be-ece2840c2e9e,1,0,1,4,3,2,1,chemical_engineering,fifth_year
f9762a6b-0f41-4cae-9105-dcc40bdfa5be,2,4,2,3,1,2,0,general_business,second_year
8e64f32d-bb1f-48d8-ad6d-41aee19d06f0,1,1,1,3,0,2,0,computer_science,first_year
17ec01ef-168c-43cb-945a-25d9198a0c65,1,3,1,4,2,1,2,architecure,third_year
04b53471-1805-44ed-aebe-ca497908b3ab,2,2,1,5,1,1,2,biology,second_year
a9118687-5dbb-40b5-bdfc-2b8926b5eb5d,0,2,1,5,1,0,0,electrical_engineering,graduate_student
58bb1299-9767-4460-b9b1-d5d81c068e01,0,1,0,3,2,2,1,fashion_design_and_production,fourth_year
ff89df8d-876c-4491-8b2d-51fd3938511a,2,4,1,4,5,0,0,computer_science,third_year
ee8bbafc-076c-4174-87a4-fd71f921db95,2,4,0,2,2,1,0,architecure,first_year
585e20be-875c-43b4-90cf-9e459d48e563,2,1,1,2,2,1,0,mechanical_engineering,second_year
1e843a8f-42eb-4936-b66d-e658138f7b46,0,4,2,2,4,2,0,computer_science,fourth_year
a4caa0d4-72e9-47d8-b94b-95c25e7ae092,1,4,2,2,2,2,1,computer_science,second_year
c9b2a760-b849-423f-b161-1efa9b828aa4,2,2,3,2,2,1,2,aerospace_engineering,phd_student
bb3ecd5a-fda8-4471-901b-b0287c2d49e1,0,3,0,2,2,1,2,electrical_engineering,fourth_year
828fbebb-c90b-4b84-860d-bea3279dc445,2,4,1,1,2,1,1,computer_science,second_year
47a40179-3263-4fb5-bcd5-5ac4dd39b0e0,2,4,3,2,2,2,1,architecure,fifth_year
f5135532-c3bb-4dc9-afb5-0ffc2aa49bbe,2,3,2,1,2,0,2,general_business,third_year
2e30eaf3-9940-42fe-b209-1ed948be5ca7,1,4,1,2,1,2,1,electrical_engineering,first_year
eef0afde-5541-46d9-8da7-1ec70f030207,2,2,2,1,0,1,2,computer_science,third_year
f1c54987-a396-44e9-96fd-106c8cefc16b,1,4,0,1,2,3,1,chemical_engineering,second_year
b56feda0-a465-41d5-b2fa-7eef4998111a,1,3,1,2,0,3,3,mechanical_engineering,third_year
6948bc88-ad8f-461c-94a7-e2465b143549,2,3,2,3,1,3,0,electrical_engineering,six_plus_years
5b7968af-1150-4146-9a36-dc79de82ebe8,1,4,2,2,2,4,0,electrical_engineering,second_year
9c73c1b1-2320-41b1-bd9e-bf947332f575,0,3,2,1,2,4,1,chemical_engineering,fourth_year
6d8b9c3e-9fd2-4bac-b093-a7468d559295,0,4,2,2,3,4,0,computer_science,first_year
56a3e46d-009d-4c4b-9cd5-903713e6d0e9,0,2,1,0,3,5,0,computer_science,third_year
13afd6c1-5072-4fdd-8583-c1485a763219,0,4,1,1,1,5,0,aerospace_engineering,fifth_year
e79d2a3b-95d7-4eb7-8f57-cb4ea280a796,0,3,3,1,2,1,0,computer_science,second_year
2cdae1ac-9ca6-440d-bd3d-35d508049e2f,0,4,2,1,0,1,2,fashion_design_and_production,fifth_year
927382f9-fde3-401a-ba53-9d89c06d9566,1,4,1,2,2,0,3,general_business,graduate_student
ab8b68c5-a3b8-4682-9696-5a1bac11c9a6,2,4,2,4,1,2,4,electrical_engineering,phd_student
a5617b65-23b2-44c4-a5cc-aecfe4d4590b,1,3,2,2,1,1,0,aerospace_engineering,first_year
49e44dff-f74e-4bcb-8009-97fcedb90277,2,3,1,3,0,0,1,chemical_engineering,third_year
8bd230ce-1879-40f4-a123-eaf32f0f6209,1,4,1,2,0,2,2,aerospace_engineering,second_year
b491d275-7583-447d-b9d3-9a321c5d3f9b,1,4,2,1,1,1,3,computer_science,fourth_year
e9aa2b47-2cb1-4093-a804-a75adfd7ac76,1,3,1,1,2,1,0,chemical_engineering,first_year
9b47702e-2426-4432-bfe6-34939dac2da9,0,2,2,0,3,0,0,electrical_engineering,fifth_year
c54223c9-697e-4104-b92d-e6a4b38bd234,2,2,1,1,2,2,1,electrical_engineering,second_year
472066be-a6d8-41a5-91ca-679bcc51e8c6,1,2,2,2,2,2,2,biology,fifth_year
